"filename", "language", "TypeScript", "TypeScript JSX", "XML", "Markdown", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\App.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 3, 34
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\assets\images\logo.svg", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\AreaChart.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\ChartCard.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\ChartContainer.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\ChartHeader.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\ChartLegend.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\GaugeChart.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\LineChart.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\Layout\AppLayout.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 5, 42
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\Layout\Navbar.tsx", "TypeScript JSX", 0, 232, 0, 0, 0, 0, 13, 245
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\Layout\Sidebar.tsx", "TypeScript JSX", 0, 202, 0, 0, 0, 3, 15, 220
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\analytics\HistoricalChart.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\analytics\OptimizedTelemetryChart.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 7, 90
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\analytics\RealtimeChartWrapper.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 5, 68
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\analytics\ReportsPanel.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\auth\ProtectedRoute.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\common\ErrorBoundary.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 0, 10, 67
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\common\LoadingScreen.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\common\ProtectedRoute.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\AlarmCard.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\BatteryCard.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\ConnectionCard.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\DashboardGrid.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\DeviceStatusPanel.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 0, 9, 119
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\GasCard.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\HeartRateCard.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 1, 4, 30
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\MemoizedAnalyticsLayout.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\QuickActionsPanel.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 0, 5, 75
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\RecentEventsPanel.tsx", "TypeScript JSX", 0, 103, 0, 0, 0, 0, 7, 110
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\SpO2Card.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\StepsCard.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\StreamOrchestrator.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\SystemStatusCard.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 0, 10, 121
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\TelemetryGrid.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\TemperatureCard.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\VitalCard.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 9, 104
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\index.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\profile\UserProfilePanel.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\shared\ErrorBoundary.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\shared\ToastContainer.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Badge.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 6, 53
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Button.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 6, 75
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Card.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Container.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Drawer.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 0, 13, 115
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Dropdown.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 0, 11, 91
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\EmptyState.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\IconButton.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 6, 55
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Modal.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 0, 13, 119
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\PageHeader.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 4, 37
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\ProductionErrorBoundary.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\SectionHeader.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 4, 39
