"filename", "language", "JSON with Comments", "JSON", "Python", "TypeScript", "JavaScript", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\.prettierrc.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 133, 0, 0, 24, 157
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\build_project.py", "Python", 0, 0, 171, 0, 0, 0, 0, 0, 0, 31, 202
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\eslint.config.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\package-lock.json", "JSON", 0, 6906, 0, 0, 0, 0, 0, 0, 0, 1, 6907
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\package.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\tailwind.config.ts", "TypeScript", 0, 0, 0, 95, 0, 0, 0, 0, 0, 3, 98
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\tsconfig.app.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\tsconfig.json", "JSON with Comments", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\vite.config.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 45
"Total", "-", 4, 7027, 171, 138, 37, 4, 133, 18, 0, 76, 7608
