"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Python", "JavaScript", "XML", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\.prettierrc.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 24, 157
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\build_project.py", "Python", 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 31, 202
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 33
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\package-lock.json", "JSON", 0, 6906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6907
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\package.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\App.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\assets\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
