"filename", "language", "Python", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\build_project.py", "Python", 97, 0, 0, 36, 19, 152
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\Layout\Navbar.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\Layout\Sidebar.tsx", "TypeScript JSX", 0, 23, 0, 3, 3, 29
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\PR11TriageHub.tsx", "TypeScript JSX", 0, 244, 0, 11, 27, 282
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\PR14HardwareLab.tsx", "TypeScript JSX", 0, 92, 0, 6, 14, 112
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\PR15MultiNodeCommandCenter.tsx", "TypeScript JSX", 0, 112, 0, 9, 15, 136
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\PR16OfflineSyncMonitor.tsx", "TypeScript JSX", 0, 111, 0, 4, 14, 129
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\DeviceStatusPanel.tsx", "TypeScript JSX", 0, -2, 0, 0, 1, -1
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\GasCard.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 5
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\StepsCard.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 5
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\StreamOrchestrator.tsx", "TypeScript JSX", 0, 121, 0, 2, 8, 131
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\config\alertThresholds.ts", "TypeScript", 0, 0, 28, 4, 3, 35
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\GlobalContext.tsx", "TypeScript JSX", 0, 8, 0, -5, 2, 5
