Date : 2026-07-31 23:40:30
Directory : c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build
Total : 430 files,  27662 codes, 2051 comments, 3519 blanks, all 33232 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        320 |     14,795 |      1,903 |      2,862 |     19,560 |
| JSON               |          8 |      7,083 |          0 |         13 |      7,096 |
| TypeScript JSX     |         88 |      5,334 |        148 |        564 |      6,046 |
| Markdown           |          3 |        155 |          0 |         31 |        186 |
| Python             |          2 |        106 |          0 |         17 |        123 |
| JavaScript         |          3 |         90 |          0 |          8 |         98 |
| PostCSS            |          1 |         43 |          0 |         11 |         54 |
| YAML               |          1 |         25 |          0 |          9 |         34 |
| HTML               |          1 |         18 |          0 |          1 |         19 |
| XML                |          2 |          9 |          0 |          2 |         11 |
| JSON with Comments |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        430 |     27,662 |      2,051 |      3,519 |     33,232 |
| . (Files)                                                                                                                              |         16 |      7,502 |          0 |         63 |      7,565 |
| .github                                                                                                                                |          1 |         25 |          0 |          9 |         34 |
| .github\workflows                                                                                                                      |          1 |         25 |          0 |          9 |         34 |
| public                                                                                                                                 |          3 |         74 |          0 |          7 |         81 |
| src                                                                                                                                    |        410 |     20,061 |      2,051 |      3,440 |     25,552 |
| src (Files)                                                                                                                            |          4 |        131 |         10 |         30 |        171 |
| src\assets                                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| src\assets\images                                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| src\charts                                                                                                                             |          7 |        145 |          0 |         10 |        155 |
| src\components                                                                                                                         |         55 |      3,184 |         39 |        335 |      3,558 |
| src\components (Files)                                                                                                                 |          4 |        559 |         30 |         70 |        659 |
| src\components\Layout                                                                                                                  |          3 |        496 |          6 |         36 |        538 |
| src\components\Mobile                                                                                                                  |          1 |         43 |          0 |          4 |         47 |
| src\components\analytics                                                                                                               |          4 |        150 |          0 |         12 |        162 |
| src\components\auth                                                                                                                    |          1 |          2 |          0 |          0 |          2 |
| src\components\common                                                                                                                  |          3 |        103 |          0 |         20 |        123 |
| src\components\dashboard                                                                                                               |         18 |        913 |          3 |         82 |        998 |
| src\components\profile                                                                                                                 |          1 |          2 |          0 |          0 |          2 |
| src\components\shared                                                                                                                  |          2 |         48 |          0 |          4 |         52 |
| src\components\ui                                                                                                                      |         18 |        868 |          0 |        107 |        975 |
| src\config                                                                                                                             |          4 |        170 |          4 |         18 |        192 |
| src\constants                                                                                                                          |          2 |         43 |          0 |         10 |         53 |
| src\context                                                                                                                            |          5 |        177 |          6 |         36 |        219 |
| src\data                                                                                                                               |          1 |        167 |          0 |         12 |        179 |
| src\engine                                                                                                                             |          3 |         59 |          0 |          6 |         65 |
| src\hooks                                                                                                                              |         14 |        286 |         10 |         63 |        359 |
| src\intelligence                                                                                                                       |         95 |      4,557 |        660 |        709 |      5,926 |
| src\intelligence\activity                                                                                                              |          8 |        307 |         60 |         56 |        423 |
| src\intelligence\activity\classifiers                                                                                                  |          1 |         26 |          7 |          4 |         37 |
| src\intelligence\activity\config                                                                                                       |          1 |         36 |          0 |          2 |         38 |
| src\intelligence\activity\engine                                                                                                       |          2 |         79 |         29 |         20 |        128 |
| src\intelligence\activity\features                                                                                                     |          1 |         28 |          5 |          5 |         38 |
| src\intelligence\activity\posture                                                                                                      |          1 |         17 |          7 |          4 |         28 |
| src\intelligence\activity\tests                                                                                                        |          1 |         90 |          9 |         16 |        115 |
| src\intelligence\activity\types                                                                                                        |          1 |         31 |          3 |          5 |         39 |
| src\intelligence\aiExperience                                                                                                          |         10 |        979 |         62 |         86 |      1,127 |
| src\intelligence\aiExperience\components                                                                                               |          7 |        851 |         52 |         65 |        968 |
| src\intelligence\aiExperience\controllers                                                                                              |          1 |         63 |          5 |         10 |         78 |
| src\intelligence\aiExperience\tests                                                                                                    |          1 |         48 |          2 |          7 |         57 |
| src\intelligence\aiExperience\types                                                                                                    |          1 |         17 |          3 |          4 |         24 |
| src\intelligence\aiIntegration                                                                                                         |          9 |        455 |         69 |         63 |        587 |
| src\intelligence\aiIntegration\components                                                                                              |          1 |        157 |          4 |          6 |        167 |
| src\intelligence\aiIntegration\config                                                                                                  |          1 |         18 |          0 |          1 |         19 |
| src\intelligence\aiIntegration\engine                                                                                                  |          5 |        193 |         60 |         37 |        290 |
| src\intelligence\aiIntegration\tests                                                                                                   |          1 |         73 |          2 |         15 |         90 |
| src\intelligence\aiIntegration\types                                                                                                   |          1 |         14 |          3 |          4 |         21 |
| src\intelligence\alerts                                                                                                                |          9 |        354 |         74 |         61 |        489 |
| src\intelligence\alerts\config                                                                                                         |          1 |         21 |          0 |          2 |         23 |
| src\intelligence\alerts\engine                                                                                                         |          6 |        243 |         68 |         44 |        355 |
| src\intelligence\alerts\tests                                                                                                          |          1 |         64 |          3 |         11 |         78 |
| src\intelligence\alerts\types                                                                                                          |          1 |         26 |          3 |          4 |         33 |
| src\intelligence\classifiers                                                                                                           |          1 |         14 |          3 |          1 |         18 |
| src\intelligence\config                                                                                                                |          1 |         50 |          5 |          3 |         58 |
| src\intelligence\engine                                                                                                                |          1 |         42 |         13 |         12 |         67 |
| src\intelligence\pipeline                                                                                                              |          5 |        322 |         39 |         49 |        410 |
| src\intelligence\pipeline (Files)                                                                                                      |          4 |        277 |         32 |         37 |        346 |
| src\intelligence\pipeline\tests                                                                                                        |          1 |         45 |          7 |         12 |         64 |
| src\intelligence\productionHardening                                                                                                   |         10 |        407 |         83 |         73 |        563 |
| src\intelligence\productionHardening\audit                                                                                             |          1 |         31 |          4 |          5 |         40 |
| src\intelligence\productionHardening\config                                                                                            |          1 |         57 |          7 |          5 |         69 |
| src\intelligence\productionHardening\docs                                                                                              |          2 |         22 |          0 |          7 |         29 |
| src\intelligence\productionHardening\errorHandling                                                                                     |          1 |         59 |         15 |         12 |         86 |
| src\intelligence\productionHardening\freeze                                                                                            |          1 |         36 |          7 |          5 |         48 |
| src\intelligence\productionHardening\memory                                                                                            |          1 |         48 |         18 |          7 |         73 |
| src\intelligence\productionHardening\optimization                                                                                      |          1 |         43 |         17 |          9 |         69 |
| src\intelligence\productionHardening\tests                                                                                             |          1 |         62 |          4 |         13 |         79 |
| src\intelligence\productionHardening\validation                                                                                        |          1 |         49 |         11 |         10 |         70 |
| src\intelligence\recommendations                                                                                                       |          9 |        309 |         67 |         56 |        432 |
| src\intelligence\recommendations\config                                                                                                |          1 |         21 |          0 |          2 |         23 |
| src\intelligence\recommendations\engine                                                                                                |          6 |        192 |         61 |         37 |        290 |
| src\intelligence\recommendations\tests                                                                                                 |          1 |         72 |          3 |         13 |         88 |
| src\intelligence\recommendations\types                                                                                                 |          1 |         24 |          3 |          4 |         31 |
| src\intelligence\reports                                                                                                               |          9 |        446 |         49 |         79 |        574 |
| src\intelligence\reports\config                                                                                                        |          1 |         13 |          0 |          1 |         14 |
| src\intelligence\reports\engine                                                                                                        |          6 |        297 |         45 |         56 |        398 |
| src\intelligence\reports\tests                                                                                                         |          1 |         98 |          1 |         17 |        116 |
| src\intelligence\reports\types                                                                                                         |          1 |         38 |          3 |          5 |         46 |
| src\intelligence\risks                                                                                                                 |          9 |        383 |         65 |         70 |        518 |
| src\intelligence\risks\config                                                                                                          |          1 |         43 |          0 |          2 |         45 |
| src\intelligence\risks\engine                                                                                                          |          6 |        246 |         59 |         50 |        355 |
| src\intelligence\risks\tests                                                                                                           |          1 |         72 |          3 |         13 |         88 |
| src\intelligence\risks\types                                                                                                           |          1 |         22 |          3 |          5 |         30 |
| src\intelligence\rules                                                                                                                 |          3 |         66 |         14 |         13 |         93 |
| src\intelligence\tests                                                                                                                 |          1 |         71 |          4 |         16 |         91 |
| src\intelligence\trends                                                                                                                |          9 |        333 |         49 |         68 |        450 |
| src\intelligence\trends\config                                                                                                         |          1 |         18 |          0 |          1 |         19 |
| src\intelligence\trends\engine                                                                                                         |          6 |        197 |         45 |         43 |        285 |
| src\intelligence\trends\tests                                                                                                          |          1 |         86 |          1 |         17 |        104 |
| src\intelligence\trends\types                                                                                                          |          1 |         32 |          3 |          7 |         42 |
| src\intelligence\types                                                                                                                 |          1 |         19 |          4 |          3 |         26 |
| src\pages                                                                                                                              |         10 |        651 |         15 |         70 |        736 |
| src\pages (Files)                                                                                                                      |          3 |        236 |          8 |         26 |        270 |
| src\pages\Alerts                                                                                                                       |          1 |         53 |          0 |          5 |         58 |
| src\pages\Analytics                                                                                                                    |          1 |         67 |          1 |          9 |         77 |
| src\pages\Auth                                                                                                                         |          1 |         99 |          0 |          8 |        107 |
| src\pages\Dashboard                                                                                                                    |          1 |         73 |          6 |         12 |         91 |
| src\pages\Devices                                                                                                                      |          1 |         43 |          0 |          3 |         46 |
| src\pages\NotFound                                                                                                                     |          1 |         58 |          0 |          5 |         63 |
| src\pages\Settings                                                                                                                     |          1 |         22 |          0 |          2 |         24 |
| src\repositories                                                                                                                       |          3 |         51 |         10 |         10 |         71 |
| src\routes                                                                                                                             |          1 |         38 |          4 |          8 |         50 |
| src\services                                                                                                                           |         84 |      5,470 |        846 |      1,110 |      7,426 |
| src\services (Files)                                                                                                                   |         58 |      3,691 |        612 |        731 |      5,034 |
| src\services\baseline                                                                                                                  |          4 |        350 |         41 |         74 |        465 |
| src\services\context                                                                                                                   |          1 |         43 |         14 |         11 |         68 |
| src\services\deviation                                                                                                                 |          1 |        116 |          8 |         20 |        144 |
| src\services\escalation                                                                                                                |          5 |        227 |         48 |         60 |        335 |
| src\services\firebase                                                                                                                  |          3 |        139 |          3 |         32 |        174 |
| src\services\healthProfile                                                                                                             |          2 |        127 |          8 |         19 |        154 |
| src\services\pipeline                                                                                                                  |          2 |         95 |         26 |         23 |        144 |
| src\services\predictive                                                                                                                |          1 |        125 |         11 |         26 |        162 |
| src\services\profile                                                                                                                   |          2 |        174 |         32 |         32 |        238 |
| src\services\range                                                                                                                     |          1 |         94 |         10 |         18 |        122 |
| src\services\risk                                                                                                                      |          1 |         79 |          8 |         15 |        102 |
| src\services\sqi                                                                                                                       |          2 |        112 |         15 |         29 |        156 |
| src\services\trend                                                                                                                     |          1 |         98 |         10 |         20 |        128 |
| src\telemetry                                                                                                                          |         11 |        484 |         96 |         99 |        679 |
| src\telemetry\__tests__                                                                                                                |          1 |         63 |          1 |         13 |         77 |
| src\telemetry\components                                                                                                               |          1 |         50 |         15 |         10 |         75 |
| src\telemetry\config                                                                                                                   |          1 |         12 |          2 |          3 |         17 |
| src\telemetry\context                                                                                                                  |          2 |         77 |          5 |         14 |         96 |
| src\telemetry\hooks                                                                                                                    |          1 |         61 |         16 |         12 |         89 |
| src\telemetry\repository                                                                                                               |          2 |        126 |         28 |         24 |        178 |
| src\telemetry\services                                                                                                                 |          1 |         50 |         19 |         13 |         82 |
| src\telemetry\types                                                                                                                    |          1 |         22 |          1 |          5 |         28 |
| src\telemetry\utils                                                                                                                    |          1 |         23 |          9 |          5 |         37 |
| src\tests                                                                                                                              |         55 |      3,213 |        206 |        655 |      4,074 |
| src\types                                                                                                                              |         47 |      1,089 |        132 |        221 |      1,442 |
| src\utils                                                                                                                              |          8 |        141 |         13 |         37 |        191 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\.github\workflows\ci.yml                                                       | YAML               |         25 |          0 |          9 |         34 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\.prettierrc.json                                                               | JSON               |         11 |          0 |          1 |         12 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\README.md                                                                      | Markdown           |        133 |          0 |         24 |        157 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\build_project.py                                                               | Python             |         97 |          0 |         16 |        113 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\check_files.py                                                                 | Python             |          9 |          0 |          1 |         10 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\eslint.config.js                                                               | JavaScript         |         31 |          0 |          2 |         33 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\firebase.json                                                                  | JSON               |         16 |          0 |          1 |         17 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\index.html                                                                     | HTML               |         18 |          0 |          1 |         19 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\package-lock.json                                                              | JSON               |      6,906 |          0 |          1 |      6,907 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\package.json                                                                   | JSON               |         53 |          0 |          1 |         54 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\postcss.config.js                                                              | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\public\favicon.svg                                                             | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\public\manifest.json                                                           | JSON               |         17 |          0 |          1 |         18 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\public\sw.js                                                                   | JavaScript         |         53 |          0 |          5 |         58 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\App.tsx                                                                    | TypeScript JSX     |         64 |          9 |         14 |         87 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\assets\images\logo.svg                                                     | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\AreaChart.tsx                                                       | TypeScript JSX     |         32 |          0 |          2 |         34 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\charts\ChartCard.tsx                                                       | TypeScript JSX     |         24 |          0 |          1 |         25 |
