"filename", "language", "JavaScript", "JSON", "TypeScript", "Python", "Markdown", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\build_project.py", "Python", 0, 0, 0, 1, 0, 0, 0, 7, 8
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\docs\API_REFERENCE.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\docs\ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\docs\DEVELOPMENT_GUIDE.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 9, 32
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\VitalCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\aiConversationPipeline.ts", "TypeScript", 0, 0, -50, 0, 0, 0, -7, -6, -63
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\medicalDisclaimerLayer.ts", "TypeScript", 0, 0, -20, 0, 0, 0, -7, -2, -29
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_1.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 1, 0, -2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_2.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 1, 0, -2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_3.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 1, 0, -2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_4.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 1, 0, -2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_5.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 1, 0, -2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_6.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 1, 0, -2
