"filename", "language", "JSON with Comments", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\package-lock.json", "JSON", 0, 0, 2097, 0, 1, 2098
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\package.json", "JSON", 0, 0, 23, 0, 0, 23
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\src\index.ts", "TypeScript", 0, -28, 0, 0, -5, -33
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\src\providers\voiceProvider.ts", "TypeScript", 0, 0, 0, 0, -1, -1
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\src\server.ts", "TypeScript", 0, 37, 0, 4, 7, 48
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\src\services\emergencyCallService.ts", "TypeScript", 0, 20, 0, -3, 5, 22
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\src\services\twimlGenerator.ts", "TypeScript", 0, -8, 0, 0, 1, -7
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\src\webhooks\twilioWebhook.ts", "TypeScript", 0, -17, 0, -1, -3, -21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\functions\tsconfig.json", "JSON with Comments", 14, 0, 0, 0, 0, 14
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\simulatedVoiceDispatcher.ts", "TypeScript", 0, 21, 0, 4, 4, 29
"Total", "-", 14, 25, 2120, 4, 9, 2172
